;Wegvoertuigen per 1 januari|Totaal wegvoertuigen;Wegvoertuigen per 1 januari|Personenauto;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Totaal bedrijfsmotorvoertuigen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Bestelauto;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Vrachtauto (excl. trekker voor oplegger);Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Trekker voor oplegger;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Speciaal voertuig;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Bus;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Totaal aanhangwagens en opleggers;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Aanhangwagen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Oplegger;Wegvoertuigen per 1 januari|Motorfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Alle voertuigen met bromfietskenteken;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Snorfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Bromfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Brommobiel;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Overige voertuigen met bromfietskenteken
Anna Paulowna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apeldoorn;126155;83415;22520;10723;8217;984;602;834;86;11797;10912;885;6982;13238;10241;2790;154;53
Appingedam;7828;5522;1098;406;354;6;13;33;0;692;685;7;559;649;331;301;17;0
Arcen en Velden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arnhem;92397;64950;10734;5905;4361;647;165;726;6;4829;4641;188;4288;12425;9213;3037;126;49
Assen;48046;32884;7612;3087;2408;151;198;278;52;4525;4263;262;3388;4162;2723;1373;52;14
Asten;14676;9038;3915;1816;1355;104;285;71;1;2099;1648;451;692;1031;602;405;21;3
Avereest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Axel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Baarle-Nassau;6711;4186;1644;801;661;38;58;40;4;843;780;63;341;540;308;219;11;2
Baarn;17006;12263;2156;1046;934;28;20;56;8;1110;1089;21;977;1610;922;644;34;10
Barendrecht;35543;23376;6719;3211;2291;286;549;83;2;3508;2364;1144;1582;3866;2316;1512;28;10
Barneveld;49664;28795;14617;6957;5307;387;896;328;39;7660;6148;1512;2627;3625;1884;1582;134;25
Bathmen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bedum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Beek (L.);13456;9553;1990;926;744;65;60;55;2;1064;977;87;781;1132;667;438;18;9
Beekdaelen;31585;21646;5148;2306;1923;158;114;109;2;2842;2659;183;1898;2893;1653;1157;65;18
Beemster;9074;5160;2474;1117;895;81;91;50;0;1357;1236;121;565;875;368;484;15;8
Beesel;10066;7089;1678;675;523;37;75;39;1;1003;925;78;552;747;391;333;22;1
Belfeld;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bellingwedde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berg en Dal;27067;18115;4013;1909;1648;67;62;124;8;2104;2049;55;1423;3516;2024;1439;47;6
Bemmel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bennebroek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bergambacht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bergeijk;18213;10743;4423;1974;1683;77;98;95;21;2449;2281;168;1145;1902;1099;758;27;18
Bergen (L.);12321;7803;2810;1125;839;47;168;70;1;1685;1522;163;726;982;433;519;22;8
Bergen (NH.);23551;15933;3430;1660;1397;78;27;156;2;1770;1751;19;1506;2682;1580;1056;27;19
Bergen op Zoom;47037;32257;8018;3377;2574;251;312;201;39;4641;3770;871;2307;4455;3109;1247;75;24
Bergh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bergschenhoek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berkel en Rodenrijs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berkelland;37567;24587;8387;3345;2793;175;204;167;6;5042;4774;268;2392;2201;942;1198;49;12
Bernheze;27771;16550;7207;3300;2737;211;173;175;4;3907;3691;216;1616;2398;1412;920;48;18
Bernisse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Best;22405;15288;3713;1592;1298;123;92;78;1;2121;1997;124;1169;2235;1624;583;18;10
Beuningen;20286;13853;3381;1476;1170;105;100;101;0;1905;1764;141;1095;1957;1477;445;24;11
Beverwijk;30276;18996;5807;2765;1961;277;405;117;5;3042;2132;910;1659;3814;2418;1330;53;13
het Bildt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De Bilt;29897;21129;4784;2179;1694;100;218;159;8;2605;2347;258;1465;2519;1270;1197;38;14
Binnenmaas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bladel;19356;11525;4886;2279;1758;146;251;121;3;2607;2217;390;1206;1739;1009;694;31;5
Blaricum;8780;6578;943;451;338;32;7;74;0;492;480;12;375;884;478;395;7;4
Bleiswijk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bloemendaal;15579;12233;1170;502;437;12;10;43;0;668;664;4;762;1414;977;420;9;8
Boarnsterhim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bodegraven;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bodegraven-Reeuwijk;27632;16901;6665;3131;2407;247;370;88;19;3534;2983;551;1611;2455;1226;1184;26;19
Boekel;10286;5810;2517;1228;1024;55;64;85;0;1289;1201;88;828;1131;684;432;11;4
Ten Boer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bolsward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borculo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borger-Odoorn;25236;15313;6399;2622;2191;130;140;158;3;3777;3665;112;1708;1816;762;985;56;13
