"Benschop;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Benthuizen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Berg en Dal;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""447"""
"Bergambacht;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bergeijk;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""142"""
"Bergen (L.);""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""152"""
"Bergen (NH.);""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""424"""
"Bergen op Zoom;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""621"""
"Bergeyk;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bergh;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Berghem;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bergschenhoek;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Berkel en Rodenrijs;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Berkel-Enschot;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Berkelland;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""479"""
"Berlicum;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bernheze;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""278"""
"Bernisse;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Best;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""249"""
"Beuningen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""238"""
"Beverwijk;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""399"""
"Bierum;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"het Bildt;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"De Bilt;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""514"""
"Binnenmaas;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bladel;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""171"""
"Bladel en Netersel;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Blaricum;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""85"""
"Bleiswijk;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bloemendaal;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""299"""
"Boarnsterhim;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bodegraven;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bodegraven-Reeuwijk;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""272"""
"Boekel;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""90"""
"Ten Boer;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bolsward;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Borculo;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Borger;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Borger-Odoorn;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""262"""
"Born;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Borne;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""211"""
"Borsele;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""177"""
"Boskoop;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Boxmeer;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""265"""
"Boxtel;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""306"""
"Brakel;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Breda;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""1691"""
"Brederwiede;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Breukelen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Brielle;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""159"""
"Broek in Waterland;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Broekhuizen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bronckhorst;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""351"""
"Brouwershaven;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bruinisse;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Brummen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""222"""
"Brunssum;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""331"""
"Budel;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Bunnik;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""98"""
"Bunschoten;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""136"""
"Buren;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""213"""
"Bussum;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Callantsoog;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Capelle aan den IJssel;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""609"""
"Castricum;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""339"""
"Chaam;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Coevorden;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""408"""
"Cothen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Cranendonck;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""187"""
"Cromstrijen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Cuijk;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""216"""
"Cuijk en Sint Agatha;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Culemborg;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""249"""
"Dalen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Dalfsen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""223"""
"Dantumadeel;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Dantumadiel;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""201"""
"Delft;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""728"""
"Delfzijl;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""305"""
"Denekamp;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Deurne;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""301"""
"Deventer;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""940"""
"Didam;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Diemen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""220"""
"Diepenheim;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Diepenveen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Diessen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Diever;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Dinkelland;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""245"""
"Dinteloord en Prinsenland;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Dinxperlo;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Dirksland;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Dodewaard;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Doesburg;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""94"""
"Doetinchem;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""556"""
"Domburg;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Dongen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""257"""
"Dongeradeel;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Doorn;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Dordrecht;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""1093"""
"Drechterland;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""148"""
"Driebergen-Rijsenburg;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Driebruggen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Drimmelen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""241"""
"Dronten;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""299"""
"Drunen;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
"Druten;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";""145"""
"Duiveland;""Overledenen: geslacht|Mannen en vrouwen"";""aantal"";"""""
